,Conditions,Date,Dew Point,Events,Gust Speed,Heat Index,Humidity,Precip,Pressure,Temp.,Time (EDT),Time (EST),Visibility,Wind Dir,Wind Speed,Windchill
84,Clear,"Jan. 04, 2016",1.9 °F,,-,,30%,,30.01 in,30.0 °F,,12:51 PM,10.0 mi,North,-,-
85,Clear,"Jan. 04, 2016",1.0 °F,,23.0 mph,,31%,,30.02 in,28.0 °F,,1:51 PM,10.0 mi,Variable,4.6 mph,22.8 °F
86,Clear,"Jan. 04, 2016",-0.0 °F,,19.6 mph,,30%,,30.05 in,28.0 °F,,2:51 PM,10.0 mi,Variable,5.8 mph,21.7 °F
87,Clear,"Jan. 04, 2016",5.0 °F,,20.7 mph,,41%,,30.09 in,26.1 °F,,3:51 PM,10.0 mi,NE,11.5 mph,15.6 °F
88,Clear,"Jan. 04, 2016",3.9 °F,,21.9 mph,,44%,,30.14 in,23.0 °F,,4:51 PM,10.0 mi,NNE,11.5 mph,11.7 °F
89,Clear,"Jan. 04, 2016",3.0 °F,,25.3 mph,,46%,,30.18 in,21.0 °F,,5:51 PM,10.0 mi,NNE,12.7 mph,8.6 °F
90,Clear,"Jan. 04, 2016",1.0 °F,,-,,44%,,30.23 in,19.9 °F,,6:51 PM,10.0 mi,North,-,-
91,Overcast,"Jan. 04, 2016",1.9 °F,,24.2 mph,,47%,,30.27 in,19.0 °F,,7:51 PM,10.0 mi,North,12.7 mph,6.1 °F
92,Partly Cloudy,"Jan. 04, 2016",1.9 °F,,25.3 mph,,50%,,30.29 in,18.0 °F,,8:51 PM,10.0 mi,North,10.4 mph,6.1 °F
93,Clear,"Jan. 04, 2016",-0.0 °F,,20.7 mph,,47%,,30.32 in,17.1 °F,,9:51 PM,10.0 mi,North,9.2 mph,5.8 °F
94,Clear,"Jan. 05, 2016",-0.9 °F,,20.7 mph,,56%,,30.46 in,12.0 °F,,2:51 AM,10.0 mi,Variable,4.6 mph,4.1 °F
95,Clear,"Jan. 05, 2016",-2.0 °F,,23.0 mph,,53%,,30.47 in,12.0 °F,,3:51 AM,10.0 mi,Variable,6.9 mph,1.5 °F
96,Clear,"Jan. 05, 2016",-2.9 °F,,23.0 mph,,51%,,30.48 in,12.0 °F,,4:51 AM,10.0 mi,Variable,4.6 mph,4.1 °F
97,Clear,"Jan. 05, 2016",-2.9 °F,,20.7 mph,,54%,,30.52 in,10.9 °F,,5:51 AM,10.0 mi,NNE,10.4 mph,-2.6 °F
98,Clear,"Jan. 05, 2016",-2.9 °F,,-,,54%,,30.54 in,10.9 °F,,6:51 AM,10.0 mi,North,-,-
99,Clear,"Jan. 05, 2016",-2.0 °F,,-,,53%,,30.54 in,12.0 °F,,7:51 AM,10.0 mi,Variable,5.8 mph,2.7 °F
100,Clear,"Jan. 05, 2016",-4.0 °F,,19.6 mph,,47%,,30.58 in,12.9 °F,,8:51 AM,10.0 mi,North,12.7 mph,-1.6 °F
101,Clear,"Jan. 05, 2016",-2.0 °F,,-,,43%,,30.61 in,17.1 °F,,9:51 AM,10.0 mi,North,-,-
102,Clear,"Jan. 05, 2016",-4.0 °F,,16.1 mph,,36%,,30.60 in,19.0 °F,,10:51 AM,10.0 mi,Variable,6.9 mph,10.0 °F
103,Clear,"Jan. 05, 2016",-5.1 °F,,18.4 mph,,30%,,30.60 in,21.9 °F,,11:51 AM,10.0 mi,NE,10.4 mph,11.0 °F
104,Clear,"Jan. 05, 2016",-6.0 °F,,-,,26%,,30.58 in,25.0 °F,,12:51 PM,10.0 mi,Variable,6.9 mph,17.1 °F
105,Clear,"Jan. 05, 2016",-6.0 °F,,-,,24%,,30.57 in,27.0 °F,,1:51 PM,10.0 mi,Variable,5.8 mph,20.5 °F
106,Clear,"Jan. 05, 2016",-4.0 °F,,-,,25%,,30.58 in,28.0 °F,,2:51 PM,10.0 mi,WNW,4.6 mph,22.8 °F
107,Clear,"Jan. 05, 2016",-2.9 °F,,-,,26%,,30.59 in,28.0 °F,,3:51 PM,10.0 mi,Calm,Calm,-
108,Clear,"Jan. 05, 2016",-4.0 °F,,-,,25%,,30.60 in,28.0 °F,,4:51 PM,10.0 mi,Calm,Calm,-
109,Clear,"Jan. 05, 2016",-2.9 °F,,-,,27%,,30.61 in,27.0 °F,,5:51 PM,10.0 mi,Calm,Calm,-
110,Clear,"Jan. 05, 2016",-2.9 °F,,-,,27%,,30.62 in,27.0 °F,,6:51 PM,10.0 mi,Calm,Calm,-
111,Clear,"Jan. 05, 2016",-2.0 °F,,-,,27%,,30.62 in,28.0 °F,,7:51 PM,10.0 mi,Calm,Calm,-
112,Clear,"Jan. 05, 2016",-2.0 °F,,-,,26%,,30.62 in,28.9 °F,,8:51 PM,10.0 mi,WNW,3.5 mph,25.2 °F
113,Clear,"Jan. 05, 2016",-0.0 °F,,-,,30%,,30.61 in,28.0 °F,,9:51 PM,10.0 mi,Variable,3.5 mph,24.2 °F
114,Clear,"Jan. 05, 2016",-0.0 °F,,-,,30%,,30.61 in,28.0 °F,,10:51 PM,10.0 mi,Calm,Calm,-
115,Clear,"Jan. 05, 2016",1.0 °F,,-,,33%,,30.59 in,27.0 °F,,11:51 PM,10.0 mi,West,3.5 mph,23.0 °F
116,Clear,"Jan. 06, 2016",1.0 °F,,-,,31%,,30.58 in,28.0 °F,,12:51 AM,10.0 mi,WNW,3.5 mph,24.2 °F
117,Clear,"Jan. 06, 2016",3.9 °F,,-,,37%,,30.58 in,27.0 °F,,1:51 AM,10.0 mi,Calm,Calm,-
118,Clear,"Jan. 06, 2016",5.0 °F,,-,,41%,,30.57 in,26.1 °F,,2:51 AM,10.0 mi,Calm,Calm,-
119,Clear,"Jan. 06, 2016",7.0 °F,,-,,44%,,30.56 in,26.1 °F,,3:51 AM,10.0 mi,NW,3.5 mph,21.9 °F
120,Clear,"Jan. 06, 2016",9.0 °F,,-,,51%,,30.56 in,25.0 °F,,4:51 AM,10.0 mi,Calm,Calm,-
121,Clear,"Jan. 06, 2016",8.1 °F,,-,,47%,,30.57 in,26.1 °F,,5:51 AM,10.0 mi,WNW,3.5 mph,21.9 °F
122,Clear,"Jan. 06, 2016",8.1 °F,,-,,47%,,30.57 in,26.1 °F,,6:51 AM,10.0 mi,Calm,Calm,-
123,Clear,"Jan. 06, 2016",6.1 °F,,-,,41%,,30.57 in,27.0 °F,,7:51 AM,10.0 mi,Calm,Calm,-
124,Clear,"Jan. 06, 2016",3.0 °F,,-,,32%,,30.58 in,30.0 °F,,8:51 AM,10.0 mi,Variable,3.5 mph,26.5 °F
125,Clear,"Jan. 06, 2016",3.0 °F,,-,,32%,,30.58 in,30.0 °F,,9:51 AM,10.0 mi,Variable,6.9 mph,23.2 °F
126,Clear,"Jan. 06, 2016",1.9 °F,,-,,27%,,30.57 in,33.1 °F,,10:51 AM,10.0 mi,WSW,6.9 mph,26.9 °F
127,Clear,"Jan. 06, 2016",1.0 °F,,-,,23%,,30.53 in,36.0 °F,,11:51 AM,10.0 mi,Calm,Calm,-
128,Clear,"Jan. 06, 2016",1.0 °F,,-,,21%,,30.49 in,37.9 °F,,12:51 PM,10.0 mi,Calm,Calm,-
129,Clear,"Jan. 06, 2016",-0.0 °F,,-,,19%,,30.46 in,39.9 °F,,1:51 PM,10.0 mi,Variable,4.6 mph,36.7 °F
130,Clear,"Jan. 06, 2016",-0.9 °F,,-,,18%,,30.45 in,39.9 °F,,2:51 PM,10.0 mi,WSW,4.6 mph,36.7 °F
131,Clear,"Jan. 06, 2016",1.0 °F,,-,,20%,,30.44 in,39.0 °F,,3:51 PM,10.0 mi,SSW,3.5 mph,36.8 °F
132,Clear,"Jan. 06, 2016",3.0 °F,,-,,23%,,30.43 in,37.9 °F,,4:51 PM,10.0 mi,WSW,3.5 mph,35.5 °F
133,Clear,"Jan. 06, 2016",6.1 °F,,-,,27%,,30.43 in,37.9 °F,,5:51 PM,10.0 mi,SW,8.1 mph,32.1 °F
134,Clear,"Jan. 06, 2016",3.9 °F,,-,,25%,,30.43 in,37.0 °F,,6:51 PM,10.0 mi,Variable,5.8 mph,32.4 °F
135,Clear,"Jan. 06, 2016",6.1 °F,,-,,29%,,30.44 in,36.0 °F,,7:51 PM,10.0 mi,WSW,6.9 mph,30.3 °F
136,Clear,"Jan. 06, 2016",3.9 °F,,-,,25%,,30.44 in,37.0 °F,,8:51 PM,10.0 mi,West,9.2 mph,30.4 °F
137,Clear,"Jan. 06, 2016",5.0 °F,,-,,27%,,30.43 in,36.0 °F,,9:51 PM,10.0 mi,West,5.8 mph,31.1 °F
138,Clear,"Jan. 06, 2016",9.0 °F,,-,,34%,,30.42 in,35.1 °F,,10:51 PM,10.0 mi,West,5.8 mph,30.1 °F
139,Clear,"Jan. 06, 2016",6.1 °F,,-,,31%,,30.41 in,34.0 °F,,11:51 PM,10.0 mi,Calm,Calm,-
140,Clear,"Jan. 07, 2016",3.9 °F,,-,,27%,,30.38 in,35.1 °F,,12:51 AM,10.0 mi,West,6.9 mph,29.3 °F
141,Clear,"Jan. 07, 2016",5.0 °F,,-,,30%,,30.37 in,34.0 °F,,1:51 AM,10.0 mi,West,5.8 mph,28.8 °F
142,Clear,"Jan. 07, 2016",5.0 °F,,-,,31%,,30.36 in,33.1 °F,,2:51 AM,10.0 mi,Calm,Calm,-
143,Clear,"Jan. 07, 2016",6.1 °F,,-,,32%,,30.35 in,33.1 °F,,3:51 AM,10.0 mi,Calm,Calm,-
144,Clear,"Jan. 07, 2016",9.0 °F,,-,,38%,,30.35 in,32.0 °F,,4:51 AM,10.0 mi,West,4.6 mph,27.5 °F
145,Partly Cloudy,"Jan. 07, 2016",8.1 °F,,-,,37%,,30.35 in,32.0 °F,,5:51 AM,10.0 mi,WNW,5.8 mph,26.4 °F
146,Partly Cloudy,"Jan. 07, 2016",7.0 °F,,-,,37%,,30.34 in,30.9 °F,,6:51 AM,10.0 mi,Variable,3.5 mph,27.5 °F
147,Clear,"Jan. 07, 2016",9.0 °F,,-,,38%,,30.34 in,32.0 °F,,7:51 AM,10.0 mi,Calm,Calm,-
148,Mostly Cloudy,"Jan. 07, 2016",7.0 °F,,-,,31%,,30.34 in,35.1 °F,,8:51 AM,10.0 mi,Variable,3.5 mph,32.2 °F
149,Partly Cloudy,"Jan. 07, 2016",5.0 °F,,-,,25%,,30.33 in,37.9 °F,,9:51 AM,10.0 mi,Calm,Calm,-
150,Clear,"Jan. 07, 2016",6.1 °F,,-,,23%,,30.31 in,42.1 °F,,10:51 AM,10.0 mi,ENE,3.5 mph,40.2 °F
151,Mostly Cloudy,"Jan. 07, 2016",8.1 °F,,-,,25%,,30.28 in,42.1 °F,,11:51 AM,10.0 mi,Calm,Calm,-
152,Overcast,"Jan. 07, 2016",10.0 °F,,-,,25%,,30.25 in,44.1 °F,,12:51 PM,10.0 mi,West,3.5 mph,42.5 °F
153,Overcast,"Jan. 07, 2016",9.0 °F,,-,,23%,,30.27 in,45.0 °F,,1:00 PM,10.0 mi,Variable,3.5 mph,43.5 °F
154,Mostly Cloudy,"Jan. 07, 2016",10.0 °F,,-,,24%,,30.25 in,45.0 °F,,1:33 PM,10.0 mi,WNW,3.5 mph,43.5 °F
155,Overcast,"Jan. 07, 2016",10.0 °F,,-,,24%,,30.24 in,45.0 °F,,1:51 PM,10.0 mi,Calm,Calm,-
156,Overcast,"Jan. 07, 2016",9.0 °F,,-,,23%,,30.23 in,45.0 °F,,2:51 PM,10.0 mi,Calm,Calm,-
157,Overcast,"Jan. 07, 2016",15.1 °F,,-,,29%,,30.25 in,46.0 °F,,3:23 PM,10.0 mi,Calm,Calm,-
158,Overcast,"Jan. 07, 2016",12.9 °F,,-,,27%,,30.25 in,45.0 °F,,3:44 PM,10.0 mi,Calm,Calm,-
159,Overcast,"Jan. 07, 2016",12.9 °F,,-,,26%,,30.23 in,46.0 °F,,3:51 PM,10.0 mi,Calm,Calm,-
160,Clear,"Jan. 07, 2016",18.0 °F,,-,,34%,,30.23 in,45.0 °F,,4:51 PM,10.0 mi,WNW,3.5 mph,43.5 °F
161,Overcast,"Jan. 07, 2016",21.9 °F,,-,,40%,,30.25 in,45.0 °F,,5:51 PM,10.0 mi,West,3.5 mph,43.5 °F
162,Mostly Cloudy,"Jan. 07, 2016",18.0 °F,,-,,35%,,30.24 in,44.1 °F,,6:51 PM,10.0 mi,WNW,4.6 mph,41.5 °F
163,Clear,"Jan. 07, 2016",19.0 °F,,-,,40%,,30.23 in,42.1 °F,,7:51 PM,10.0 mi,Calm,Calm,-
164,Clear,"Jan. 07, 2016",19.0 °F,,-,,40%,,30.22 in,42.1 °F,,8:51 PM,10.0 mi,WNW,3.5 mph,40.2 °F
165,Clear,"Jan. 07, 2016",19.0 °F,,-,,40%,,30.21 in,42.1 °F,,9:51 PM,10.0 mi,NW,3.5 mph,40.2 °F
166,Clear,"Jan. 07, 2016",19.9 °F,,-,,46%,,30.20 in,39.0 °F,,10:51 PM,10.0 mi,ENE,3.5 mph,36.8 °F
167,Unknown,"Jan. 07, 2016",17.6 °F,,-,,42%,,-,39.2 °F,,11:51 PM,-,North,-,-
168,Unknown,"Jan. 08, 2016",21.2 °F,,-,,52%,,-,37.4 °F,,12:51 AM,-,North,-,-
169,Unknown,"Jan. 08, 2016",21.2 °F,,-,,52%,,-,37.4 °F,,1:51 AM,-,North,-,-
170,Unknown,"Jan. 08, 2016",21.2 °F,,-,,52%,,-,37.4 °F,,2:51 AM,-,North,-,-
171,Unknown,"Jan. 08, 2016",19.4 °F,,-,,52%,,-,35.6 °F,,3:51 AM,-,North,-,-
172,Unknown,"Jan. 08, 2016",17.6 °F,,-,,48%,,-,35.6 °F,,4:51 AM,-,North,-,-
173,Unknown,"Jan. 08, 2016",17.6 °F,,-,,48%,,-,35.6 °F,,5:51 AM,-,North,-,-
174,Unknown,"Jan. 08, 2016",21.2 °F,,-,,56%,,-,35.6 °F,,6:51 AM,-,North,-,-
175,Unknown,"Jan. 08, 2016",24.8 °F,,-,,60%,,-,37.4 °F,,7:51 AM,-,North,-,-
